DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE
Flowstone,deposit,formed from thin films or trickles of water,,,encrust floors or walls,,"Flowstone is a general term referring to a deposit formed from thin films or trickles of water, the minerals are usually calcium carbonate and encrust floors or walls."
fluviokarst,karst landscape,,,,,,"The term fluviokarst is used to describe a karst landscape in which the dominant physical landforms are valleys initially cut by surface streams that have been partly or completely diverted underground by subsurface conduit piracy (Field, 2002a)."
Kluftkarren grikes,fissures of a karstifiable rock,,visible surface expression of the fissures of a karstifiable rock,,are a significant component of the epikarst,,"Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system."
Hypogene karst,the formation of caves,"formation of caves by water that recharges the soluble formation from below ,|independent of the recharge from the overlying or immediately adjacent surface|driven by hydrostatic pressure or other sources of energy",,,,,"Hypogene karst is defined as the formation of caves by water that recharges the soluble formation from below, driven by hydrostatic pressure or other sources of energy, independent of the recharge from the overlying or immediately adjacent surface (Ford, 2000). caves"
inphase component,amplitude of the secondary field,,,,,,The inphase component is defined as the amplitude of the secondary field at the point where the primary field amplitude peaks.
Karren,dissolution features,,,,on exposed soluble rock surfaces,,Karren is a common term used for dissolution features on exposed soluble rock surfaces (Gines 2009). dissolution
Karren,,,,,,range from 1 cm to 10 m in greatest dimension,"Karren range from 1 cm to 10 m in greatest dimension in most instances, although kluftkarren and some solution channels can be longer."
karst,process,interaction between soluble rocks and different waters,,,,,"In the most general terms, karst may be defined as a process of interaction between soluble rocks and different waters, as a result of which characteristic features develop on the Earth's surface and underground. process"
Karstification,geologic process,differential chemical and mechanical erosion by water on soluble bodies of rock,,,at or near the Earth ’ s surface,,"Karstification is the geologic process of differential chemical and mechanical erosion by water on soluble bodies of rock, such as limestone, dolomite, gypsum, or salt, at or near the Earth ’ s surface."
karst,topography,indicates dissolution ( also called chemical solution ) of underlying soluble rocks by surface water or ground water,,,,,The term karst describes a distinctive topography that indicates dissolution (also called chemical solution) of underlying soluble rocks by surface water or ground water.
karst,type of landscape,"distinctive type of landscape that develops from the dissolving action of water on soluble bedrock , primarily limestone and marble but also dolostone , gypsum and halite",,,,,"The term karst applies to a distinctive type of landscape that develops from the dissolving action of water on soluble bedrock, primarily limestone and marble but also dolostone, gypsum and halite."
Karst,terrain,formed by the dissolving of rock,,,"terrain , generally underlain by limestone or dolomite",,"Karst is defined as a terrain, generally underlain by limestone or dolomite, in which the topography is chiefly formed by the dissolving of rock, and which may be characterised by sinkholes, sinking streams, closed depressions, subterranean drainage and caves (Field 2002). underlain by limestone or dolomite"
Karst,terrains,,,,terrains underlain by soluble rock,,"Karst is the term applied to terrains underlain by soluble rock: mainly limestone, dolomite and gypsum."
Lampenflora,complex community of organisms,,,,"growing on illuminated areas such as rocky surfaces , sediment and artificial materials around lamps",,"Lampenflora is a complex community of organisms growing on illuminated areas such as rocky surfaces, sediment and artificial materials around lamps."
Kras,limestone plateau,,,,,,The Kras is a limestone plateau situated above the Trieste Bay in the northern Adriatic Sea.
epikarst aquifer,zone,,saturated,that stores a part of the infiltrated water,within the superficial part of the karst,,"The word epikarst came into widespread use in the 1990s following the definition by Mangin (1973) of an epikarst aquifer as a perched saturated zone within the superficial part of the karst that stores a part of the infiltrated water (Bakalowicz, 2012)."
Dry valleys,,,,,,,"Dry valleys are often defined as thosewithout, or with only a temporary, watercourse (Sweeting, 1973)."
Time series analysis,signal processing methods,,,mostly used to improve the understanding of the hydrological behaviour of karst systems,,,"Time series analysis are signal processing methods belonging to this category, and are mostly used to improve the understanding of the hydrological behaviour of karst systems."
Speleogenesis,mass-transfer process,"critically depends on both , the aggressiveness of groundwater and its circulation ( movement )",,,,,"Speleogenesis (karstic) is a mass-transfer process, which critically depends on both, the aggressiveness of groundwater and its circulation (movement)."
groundwater,,,,,,,Aggressiveness is an attribute of groundwater that corresponds to a chemical potential for mobilization of a dissolved matter from the rock.
Tafoni geomorphology,hollow shape,carved by erosion,a hollow shape,,,rounded several decimeters to several meters,"Tafoni geomorphology designates a hollow shape rounded several decimeters to several meters, carved by erosion in the coastal carbonates."
Sea caves,cave,formed primarily by wave action,,,,,"Sea caves, also known as littoral caves, are a type of cave formed primarily by wave action."
littoral caves,cave,formed primarily by wave action,,,,,"Sea caves, also known as littoral caves, are a type of cave formed primarily by wave action."
